sawtooth,data,point
1428.3928125,1383,15
1433.5125,1383,16
1438.6321875,1385,17
1443.751875,1389,18
1448.8715625,1391,19
1453.99125,1398,20
1459.1109375,1400,21
1464.230625,1409,22
1469.3503125,1411,23
1474.47,1417,24
1479.5896875,1425,25
1484.709375,1434,26
1489.8290625,1441,27
1494.94875,1447,28
1500.0684375,1455,29
1505.188125,1459,30
1510.3078125,1466,31
1515.4275,1464,32
1520.5471875,1464,33
1525.666875,1469,34
1530.7865625,1479,35
1535.90625,1483,36
1541.0259375,1486,37
1546.145625,1489,38
1551.2653125,1496,39
1556.385,1502,40
1561.5046875,1510,41
1566.624375,1519,42
1571.7440625,1522,43
1576.86375,1529,44
1581.9834375,1534,45
1587.103125,1539,46
1592.2228125,1544,47
1597.3425,1544,48
1602.4621875,1547,49
1607.581875,1552,50
1612.7015625,1556,51
1617.82125,1562,52
1622.9409375,1564,53
1628.060625,1566,54
1633.1803125,1572,55
1638.3,1582,56
1643.4196875,1589,57
1648.539375,1597,58
1653.6590625,1603,59
1658.77875,1611,60
1663.8984375,1618,61
1669.018125,1619,62
1674.1378125,1623,63
1679.2575,1626,0
1684.3771875,1630,1
1689.496875,1636,2
1694.6165625,1640,3
1699.73625,1642,4
1704.8559375,1646,5
1709.975625,1654,6
1715.0953125,1662,7
1720.215,1666,8
1725.3346875,1674,9
1730.454375,1683,10
1735.5740625,1689,11
1740.69375,1692,12
1745.8134375,1699,13
1750.933125,1705,14
1756.0528125,1712,15
1761.1725,1711,16
1766.2921875,1710,17
1771.411875,1716,18
1776.5315625,1718,19
1781.65125,1724,20
1786.7709375,1728,21
1791.890625,1731,22
1797.0103125,1741,23
1802.13,1747,24
1807.2496875,1754,25
1812.369375,1765,26
1817.4890625,1767,27
1822.60875,1775,28
1827.7284375,1783,29
1832.848125,1789,30
1837.9678125,1791,31
1843.0875,1792,32
1848.2071875,1796,33
1853.326875,1802,34
1858.4465625,1802,35
1863.56625,1809,36
1868.6859375,1814,37
1873.805625,1819,38
1878.9253125,1828,39
1884.045,1836,40
1889.1646875,1844,41
1894.284375,1852,42
1899.4040625,1855,43
1904.52375,1862,44
1909.6434375,1867,45
1914.763125,1871,46
1919.8828125,1874,47
1925.0025,1879,48
1930.1221875,1882,49
1935.241875,1882,50
1940.3615625,1891,51
1945.48125,1892,52
1950.6009375,1898,53
1955.720625,1902,54
1960.8403125,1905,55
1965.96,1917,56
1971.0796875,1926,57
1976.199375,1933,58
1981.3190625,1937,59
1986.43875,1944,60
1991.5584375,1950,61
1996.678125,1955,62
2001.7978125,1958,63
2006.9175,1965,0
2012.0371875,1964,1
2017.156875,1966,2
2022.2765625,1973,3
2027.39625,1977,4
2032.5159375,1985,5
2037.635625,1990,6
2042.7553125,1995,7
2047.875,2004,8
2052.9946875,2012,9
2058.114375,2016,10
2063.2340625,2023,11
2068.35375,2031,12
2073.4734375,2033,13
2078.593125,2042,14
2083.7128125,2045,15
2088.8325,2049,16
2093.9521875,2045,17
2099.071875,2052,18
2104.1915625,2055,19
2109.31125,2062,20
2114.4309375,2067,21
2119.550625,2071,22
2124.6703125,2079,23
2129.79,2084,24
2134.9096875,2093,25
2140.029375,2102,26
2145.1490625,2110,27
2150.26875,2114,28
2155.3884375,2121,29
2160.508125,2126,30
2165.6278125,2128,31
2170.7475,2131,32
2175.8671875,2137,33
2180.986875,2142,34
2186.1065625,2146,35
2191.22625,2149,36
2196.3459375,2155,37
2201.465625,2161,38
2206.5853125,2167,39
2211.705,2174,40
2216.8246875,2184,41
2221.944375,2190,42
2227.0640625,2193,43
2232.18375,2203,44
2237.3034375,2206,45
2242.423125,2210,46
2247.5428125,2216,47
2252.6625,2218,48
2257.7821875,2220,49
2262.901875,2228,50
2268.0215625,2228,51
2273.14125,2236,52
2278.2609375,2237,53
2283.380625,2240,54
2288.5003125,2248,55
2293.62,2255,56
2298.7396875,2268,57
2303.859375,2274,58
2308.9790625,2280,59
2314.09875,2288,60
2319.2184375,2293,61
2324.338125,2298,62
2329.4578125,2301,63
2334.5775,2305,0
2339.6971875,2308,1
2344.816875,2311,2
2349.9365625,2315,3
2355.05625,2322,4
2360.1759375,2327,5
2365.295625,2330,6
2370.4153125,2338,7
2375.535,2345,8
2380.6546875,2354,9
2385.774375,2363,10
2390.8940625,2367,11
2396.01375,2373,12
2401.1334375,2379,13
2406.253125,2385,14
2411.3728125,2388,15
2416.4925,2392,16
2421.6121875,2392,17
2426.731875,2396,18
2431.8515625,2401,19
2436.97125,2404,20
2442.0909375,2410,21
2447.210625,2416,22
2452.3303125,2422,23
2457.45,2429,24
2462.5696875,2436,25
2467.689375,2449,26
2472.8090625,2456,27
2477.92875,2462,28
2483.0484375,2464,29
2488.168125,2471,30
2493.2878125,2476,31
2498.4075,2480,32
2503.5271875,2481,33
2508.646875,2485,34
2513.7665625,2492,35
2518.88625,2495,36
2524.0059375,2502,37
2529.125625,2506,38
2534.2453125,2514,39
2539.365,2520,40
2544.4846875,2529,41
2549.604375,2536,42
2554.7240625,2540,43
2559.84375,2546,44
2564.9634375,2553,45
2570.083125,2557,46
2575.2028125,2561,47
2580.3225,2561,48
2585.4421875,2567,49
2590.561875,2572,50
2595.6815625,2573,51
2600.80125,2576,52
2605.9209375,2586,53
2611.040625,2587,54
2616.1603125,2594,55
2621.28,2601,56
2626.3996875,2610,57
2631.519375,2617,58
2636.6390625,2626,59
2641.75875,2634,60
2646.8784375,2641,61
2651.998125,2646,62
2657.1178125,2648,63
2662.2375,2652,0
2667.3571875,2655,1
2672.476875,2658,2
2677.5965625,2659,3
2682.71625,2665,4
2687.8359375,2675,5
2692.955625,2680,6
2698.0753125,2683,7
2703.195,2688,8
2708.3146875,2700,9
2713.434375,2707,10
2718.5540625,2714,11
2723.67375,2721,12
2728.7934375,2725,13
2733.913125,2729,14
2739.0328125,2735,15
2744.1525,2736,16
2749.2721875,2737,17
2754.391875,2743,18
2759.5115625,2745,19
2764.63125,2750,20
2769.7509375,2756,21
2774.870625,2758,22
2779.9903125,2767,23
2785.11,2774,24
2790.2296875,2785,25
2795.349375,2791,26
2800.4690625,2799,27
2805.58875,2805,28
2810.7084375,2810,29
2815.828125,2815,30
2820.9478125,2819,31
2826.0675,2821,32
2831.1871875,2825,33
2836.306875,2830,34
2841.4265625,2834,35
2846.54625,2840,36
2851.6659375,2846,37
2856.785625,2849,38
2861.9053125,2856,39
2867.025,2863,40
2872.1446875,2870,41
2877.264375,2876,42
2882.3840625,2885,43
2887.50375,2891,44
2892.6234375,2897,45
2897.743125,2898,46
2902.8628125,2907,47
2907.9825,2906,48
2913.1021875,2911,49
2918.221875,2917,50
2923.3415625,2918,51
2928.46125,2919,52
2933.5809375,2926,53
2938.700625,2930,54
2943.8203125,2937,55
2948.94,2945,56
2954.0596875,2950,57
2959.179375,2960,58
2964.2990625,2970,59
2969.41875,2975,60
2974.5384375,2982,61
2979.658125,2986,62
2984.7778125,2993,63
2989.8975,2993,0
2995.0171875,2995,1
3000.136875,2999,2
3005.2565625,3005,3
3010.37625,3009,4
3015.4959375,3014,5
3020.615625,3020,6
3025.7353125,3026,7
3030.855,3034,8
3035.9746875,3042,9
3041.094375,3052,10
3046.2140625,3058,11
3051.33375,3060,12
3056.4534375,3065,13
3061.573125,3070,14
3066.6928125,3078,15
3071.8125,3077,16
3076.9321875,3078,17
3082.051875,3087,18
3087.1715625,3089,19
3092.29125,3091,20
3097.4109375,3096,21
3102.530625,3104,22
3107.6503125,3108,23
3112.77,3115,24
3117.8896875,3126,25
3123.009375,3133,26
3128.1290625,3141,27
3133.24875,3147,28
3138.3684375,3151,29
3143.488125,3157,30
3148.6078125,3162,31
3153.7275,3163,32
3158.8471875,3166,33
3163.966875,3170,34
3169.0865625,3174,35
3174.20625,3176,36
3179.3259375,3184,37
3184.445625,3192,38
3189.5653125,3200,39
3194.685,3203,40
3199.8046875,3212,41
3204.924375,3219,42
3210.0440625,3226,43
3215.16375,3233,44
3220.2834375,3236,45
3225.403125,3240,46
3230.5228125,3245,47
3235.6425,3247,48
3240.7621875,3250,49
3245.881875,3252,50
3251.0015625,3257,51
3256.12125,3262,52
3261.2409375,3268,53
3266.360625,3271,54
3271.4803125,3275,55
3276.6,3285,56
3281.7196875,3290,57
3286.839375,3302,58
3291.9590625,3307,59
3297.07875,3313,60
3302.1984375,3321,61
3307.318125,3326,62
3312.4378125,3331,63
3317.5575,3333,0
3322.6771875,3334,1
3327.796875,3342,2
3332.9165625,3344,3
3338.03625,3348,4
3343.1559375,3354,5
3348.275625,3357,6
3353.3953125,3365,7
3358.515,3370,8
